,floor_id,ds,y,power_consumption_ori,predict_value,yhat_lower,yhat_upper,error,flag
0,0,2022-06-21 13:00:00,2365.03,2365.03,1891.6395331736,1715.3876066711,2051.4248672496,20.02,2
1,0,2022-06-21 14:00:00,2699.65,2699.65,2043.8433343684,1865.6980029921,2230.6167315293,24.29,2
2,0,2022-06-21 15:00:00,2613.14,2613.14,2185.7897909326,1999.8206284406,2377.5295256806,16.35,2
3,0,2022-06-21 16:00:00,2527.3,2527.3,2178.7498794072,1985.5368673036,2360.1000609491,13.79,2
4,0,2022-06-21 17:00:00,2387.21,2387.21,2136.6695275034,1949.9966668775,2342.8110129055,10.5,2
5,0,2022-06-21 18:00:00,2101.12,2101.12,2073.3586117138,1873.4812385598,2269.7715911184,1.32,0
6,0,2022-06-21 19:00:00,1913.05,1913.05,2044.7620226153,1866.0384672109,2230.9915796764,6.44,0
7,0,2022-06-21 20:00:00,1795.84,1795.84,1981.5180549916,1802.8403201987,2171.3329042291,9.37,1
8,0,2022-06-21 21:00:00,1319.94,1319.94,1902.5350473465,1707.2644493863,2090.7642605472,30.62,1
9,0,2022-06-21 22:00:00,1258.19,1258.19,1677.0990890059,1496.3323776853,1870.0418510666,24.98,1
10,0,2022-06-21 23:00:00,1192.87,1192.87,1475.043352706,1279.6557598266,1659.9858442663,19.13,1
11,0,2022-06-22 00:00:00,1101.16,1101.16,1379.0501277222,1193.7913871309,1577.2940365299,20.15,1
12,0,2022-06-22 01:00:00,1013.51,1013.51,1230.2749278572,1031.3616270305,1449.6972846846,17.62,1
13,0,2022-06-22 02:00:00,1016.9174540274,395.94,1016.9174540274,813.2097730595,1216.3786545594,61.06,1
14,0,2022-06-22 03:00:00,880.8933384819,306.85,880.8933384819,685.1596725615,1082.7493531222,65.17,1
15,0,2022-06-22 04:00:00,809.847587628,310.89,809.847587628,632.9511387347,999.4963941943,61.61,1
16,0,2022-06-22 05:00:00,880.1139702214,320.45,880.1139702214,680.107780946,1090.4690791503,63.59,1
