,floor_id,ds,y,power_consumption_ori,predict_value,yhat_lower,yhat_upper,error,flag
0,0,2022-06-13 04:00:00,212.03,212.03,,,,,
1,0,2022-06-13 05:00:00,214.12,214.12,,,,,
2,0,2022-06-13 06:00:00,220.86,220.86,,,,,
3,0,2022-06-13 07:00:00,1048.43,1048.43,,,,,
4,0,2022-06-13 08:00:00,1203.72,1203.72,,,,,
5,0,2022-06-13 09:00:00,1415.66,1415.66,,,,,
6,0,2022-06-13 10:00:00,1452.82,1452.82,,,,,
7,0,2022-06-13 11:00:00,1471.53,1471.53,,,,,
8,0,2022-06-13 12:00:00,1508.11,1508.11,,,,,
9,0,2022-06-13 13:00:00,1497.21,1497.21,,,,,
10,0,2022-06-13 14:00:00,1532.64,1532.64,,,,,
11,0,2022-06-13 15:00:00,1540.75,1540.75,,,,,
12,0,2022-06-13 16:00:00,1556.56,1556.56,,,,,
13,0,2022-06-13 17:00:00,1491.14,1491.14,,,,,
14,0,2022-06-13 18:00:00,1401.14,1401.14,,,,,
15,0,2022-06-13 19:00:00,1135.49,1135.49,,,,,
16,0,2022-06-13 20:00:00,1053.91,1053.91,,,,,
17,0,2022-06-13 21:00:00,993.25,993.25,,,,,
18,0,2022-06-13 22:00:00,943.91,943.91,,,,,
19,0,2022-06-13 23:00:00,518.27,823.25,,,,,
20,0,2022-06-14 00:00:00,500.7,500.7,,,,,
21,0,2022-06-14 01:00:00,314.08,314.08,,,,,
22,0,2022-06-14 02:00:00,226.44,226.44,,,,,
23,0,2022-06-14 03:00:00,228.25,228.25,,,,,
24,0,2022-06-14 04:00:00,215.19,215.19,,,,,
25,0,2022-06-14 05:00:00,212.18,212.18,,,,,
26,0,2022-06-14 06:00:00,309.89,309.89,,,,,
27,0,2022-06-14 07:00:00,1042.64,1042.64,,,,,
28,0,2022-06-14 08:00:00,1120.03,1120.03,,,,,
29,0,2022-06-14 09:00:00,1521.8,1521.8,,,,,
30,0,2022-06-14 10:00:00,1569.21,1569.21,,,,,
31,0,2022-06-14 11:00:00,1602.92,1602.92,,,,,
32,0,2022-06-14 12:00:00,1608.05,1608.05,,,,,
33,0,2022-06-14 13:00:00,1624.93,1624.93,,,,,
34,0,2022-06-14 14:00:00,1657.07,1657.07,,,,,
35,0,2022-06-14 15:00:00,1685.59,1685.59,,,,,
36,0,2022-06-14 16:00:00,1673.37,1673.37,,,,,
37,0,2022-06-14 17:00:00,1517.63,1517.63,,,,,
38,0,2022-06-14 18:00:00,1416.83,1416.83,,,,,
39,0,2022-06-14 19:00:00,1403.79,1403.79,,,,,
40,0,2022-06-14 20:00:00,1279.78,1279.78,,,,,
41,0,2022-06-14 21:00:00,1042.02,1042.02,,,,,
42,0,2022-06-14 22:00:00,971.75,971.75,,,,,
43,0,2022-06-14 23:00:00,518.27,859.25,,,,,
44,0,2022-06-15 00:00:00,379.78,827.25,,,,,
45,0,2022-06-15 01:00:00,323.825,758.78,,,,,
46,0,2022-06-15 02:00:00,231.14,707.3,,,,,
47,0,2022-06-15 03:00:00,263.26,263.26,,,,,
48,0,2022-06-15 04:00:00,249.47,249.47,,,,,
49,0,2022-06-15 05:00:00,266.99,266.99,,,,,
50,0,2022-06-15 06:00:00,335.46,335.46,,,,,
51,0,2022-06-15 07:00:00,1131.87,1131.87,,,,,
52,0,2022-06-15 08:00:00,1250.44,1250.44,,,,,
53,0,2022-06-15 09:00:00,1573.82,1573.82,,,,,
54,0,2022-06-15 10:00:00,1629.25,1629.25,,,,,
55,0,2022-06-15 11:00:00,1643.28,1643.28,,,,,
56,0,2022-06-15 12:00:00,1645.94,1645.94,,,,,
57,0,2022-06-15 13:00:00,1665.77,1665.77,,,,,
58,0,2022-06-15 14:00:00,1689.45,1689.45,,,,,
59,0,2022-06-15 15:00:00,1714.63,1714.63,,,,,
60,0,2022-06-15 16:00:00,1687.21,1687.21,1577.5584743899,1432.8971912742,1738.3059790172,6.5,0.0
61,0,2022-06-15 17:00:00,1498.65,1498.65,1488.6760177768,1345.1307709681,1638.5270968686,0.67,0.0
62,0,2022-06-15 18:00:00,1444.1,1444.1,1409.8702472799,1262.9987317856,1551.5264364283,2.37,0.0
63,0,2022-06-15 19:00:00,1331.94,1331.94,1397.4541439975,1242.6876131844,1550.2266104164,4.69,0.0
64,0,2022-06-15 20:00:00,1199.42,1199.42,1329.3169779601,1175.6171926475,1480.5130302791,9.77,0.0
65,0,2022-06-15 21:00:00,1070.46,1070.46,1197.0986912938,1063.0258653194,1350.8922493573,10.58,0.0
66,0,2022-06-15 22:00:00,1014.55,1014.55,982.0773385832,825.1446493037,1136.8425544071,3.2,0.0
67,0,2022-06-15 23:00:00,885.09,885.09,797.8852927932,637.9179397871,942.5939022961,9.85,0.0
68,0,2022-06-16 00:00:00,833.17,833.17,638.6332893017,461.3052999594,800.5198353299,23.35,2.0
69,0,2022-06-16 01:00:00,399.64,399.64,549.5064740741,386.6450706611,708.1384579502,27.27,0.0
70,0,2022-06-16 02:00:00,291.86,291.86,474.3258557158,325.7073117706,631.1556223233,38.47,1.0
71,0,2022-06-16 03:00:00,288.99,288.99,387.2943582162,227.0616944987,540.2179391623,25.38,0.0
