,floor_id,ds,y,power_consumption_ori,predict_value,yhat_lower,yhat_upper,error,flag
0,0,2022-06-08 17:00:00,1396.33,1396.33,,,,,
1,0,2022-06-08 18:00:00,1180.62,1180.62,,,,,
2,0,2022-06-08 19:00:00,1046.66,1046.66,,,,,
3,0,2022-06-08 20:00:00,970.25,970.25,,,,,
4,0,2022-06-08 21:00:00,932.99,932.99,,,,,
5,0,2022-06-08 22:00:00,904.78,904.78,,,,,
6,0,2022-06-08 23:00:00,517.26,517.26,,,,,
7,0,2022-06-09 00:00:00,372.23,372.23,,,,,
8,0,2022-06-09 01:00:00,333.57,333.57,,,,,
9,0,2022-06-09 02:00:00,248.1,248.1,,,,,
10,0,2022-06-09 03:00:00,241.24,241.24,,,,,
11,0,2022-06-09 04:00:00,232.74,232.74,,,,,
12,0,2022-06-09 05:00:00,249.9,249.9,,,,,
13,0,2022-06-09 06:00:00,283.1,283.1,,,,,
14,0,2022-06-09 07:00:00,1088.7,1088.7,,,,,
15,0,2022-06-09 08:00:00,1029.53,1029.53,,,,,
16,0,2022-06-09 09:00:00,1295.81,1295.81,,,,,
17,0,2022-06-09 10:00:00,1257.21,1257.21,,,,,
18,0,2022-06-09 11:00:00,1225.84,1225.84,,,,,
19,0,2022-06-09 12:00:00,1228.14,1228.14,,,,,
20,0,2022-06-09 13:00:00,1183.57,1183.57,,,,,
21,0,2022-06-09 14:00:00,1257.5,1257.5,,,,,
22,0,2022-06-09 15:00:00,1341.97,1341.97,,,,,
23,0,2022-06-09 16:00:00,1423.49,1423.49,,,,,
24,0,2022-06-09 17:00:00,1263.85,1263.85,,,,,
25,0,2022-06-09 18:00:00,1092.37,1092.37,,,,,
26,0,2022-06-09 19:00:00,996.48,996.48,,,,,
27,0,2022-06-09 20:00:00,875.05,875.05,,,,,
28,0,2022-06-09 21:00:00,963.12,635.42,,,,,
29,0,2022-06-09 22:00:00,908.825,420.95,,,,,
30,0,2022-06-09 23:00:00,401.71,401.71,,,,,
31,0,2022-06-10 00:00:00,347.09,347.09,,,,,
32,0,2022-06-10 01:00:00,313.98,313.98,,,,,
33,0,2022-06-10 02:00:00,216.93,216.93,,,,,
34,0,2022-06-10 03:00:00,211.64,211.64,,,,,
35,0,2022-06-10 04:00:00,205.37,205.37,,,,,
36,0,2022-06-10 05:00:00,208.5,208.5,,,,,
37,0,2022-06-10 06:00:00,227.08,227.08,,,,,
38,0,2022-06-10 07:00:00,952.2,952.2,,,,,
39,0,2022-06-10 08:00:00,1045.01,1045.01,,,,,
40,0,2022-06-10 09:00:00,1254.54,1254.54,,,,,
41,0,2022-06-10 10:00:00,1318.2,1318.2,,,,,
42,0,2022-06-10 11:00:00,1310.7,1310.7,,,,,
43,0,2022-06-10 12:00:00,1351.97,1351.97,,,,,
44,0,2022-06-10 13:00:00,1321.93,1321.93,,,,,
45,0,2022-06-10 14:00:00,1284.34,1284.34,,,,,
46,0,2022-06-10 15:00:00,1302.35,1302.35,,,,,
47,0,2022-06-10 16:00:00,1290.05,1290.05,,,,,
48,0,2022-06-10 17:00:00,1153.61,1153.61,,,,,
49,0,2022-06-10 18:00:00,1026.09,1026.09,,,,,
50,0,2022-06-10 19:00:00,926.41,926.41,,,,,
51,0,2022-06-10 20:00:00,875.91,875.91,,,,,
52,0,2022-06-10 21:00:00,888.29,888.29,,,,,
53,0,2022-06-10 22:00:00,887.0,887.0,,,,,
54,0,2022-06-10 23:00:00,685.62,685.62,,,,,
55,0,2022-06-11 00:00:00,335.99,335.99,,,,,
56,0,2022-06-11 01:00:00,308.65,308.65,,,,,
57,0,2022-06-11 02:00:00,220.6,220.6,,,,,
58,0,2022-06-11 03:00:00,218.11,218.11,,,,,
59,0,2022-06-11 04:00:00,219.6,219.6,,,,,
60,0,2022-06-11 05:00:00,220.53,220.53,,,,,
61,0,2022-06-11 06:00:00,280.39,280.39,,,,,
62,0,2022-06-11 07:00:00,963.59,963.59,,,,,
63,0,2022-06-11 08:00:00,880.04,880.04,,,,,
64,0,2022-06-11 09:00:00,1094.38,1094.38,,,,,
65,0,2022-06-11 10:00:00,1111.51,1111.51,,,,,
66,0,2022-06-11 11:00:00,1130.53,1130.53,,,,,
67,0,2022-06-11 12:00:00,1120.13,1120.13,,,,,
68,0,2022-06-11 13:00:00,1050.43,1050.43,,,,,
69,0,2022-06-11 14:00:00,1088.54,1088.54,,,,,
70,0,2022-06-11 15:00:00,1103.46,1103.46,,,,,
71,0,2022-06-11 16:00:00,1061.27,1061.27,,,,,
72,0,2022-06-11 17:00:00,1054.63,1054.63,,,,,
73,0,2022-06-11 18:00:00,975.94,975.94,,,,,
74,0,2022-06-11 19:00:00,977.8,977.8,,,,,
75,0,2022-06-11 20:00:00,937.77,937.77,,,,,
76,0,2022-06-11 21:00:00,963.12,482.02,,,,,
77,0,2022-06-11 22:00:00,908.825,396.94,,,,,
78,0,2022-06-11 23:00:00,394.32,394.32,,,,,
